SEP=;
index;label;RightUpperArm_boneIndex;RightUpperArm_quat9x_w;RightUpperArm_quat9x_x;RightUpperArm_quat9x_y;RightUpperArm_quat9x_z;RightUpperArm_gyroscope_x;RightUpperArm_gyroscope_y;RightUpperArm_gyroscope_z;RightUpperArm_accelerometer_x;RightUpperArm_accelerometer_y;RightUpperArm_accelerometer_z;RightLowerArm_boneIndex;RightLowerArm_quat9x_w;RightLowerArm_quat9x_x;RightLowerArm_quat9x_y;RightLowerArm_quat9x_z;RightLowerArm_gyroscope_x;RightLowerArm_gyroscope_y;RightLowerArm_gyroscope_z;RightLowerArm_accelerometer_x;RightLowerArm_accelerometer_y;RightLowerArm_accelerometer_z;LeftUpperArm_boneIndex;LeftUpperArm_quat9x_w;LeftUpperArm_quat9x_x;LeftUpperArm_quat9x_y;LeftUpperArm_quat9x_z;LeftUpperArm_gyroscope_x;LeftUpperArm_gyroscope_y;LeftUpperArm_gyroscope_z;LeftUpperArm_accelerometer_x;LeftUpperArm_accelerometer_y;LeftUpperArm_accelerometer_z;LeftLowerArm_boneIndex;LeftLowerArm_quat9x_w;LeftLowerArm_quat9x_x;LeftLowerArm_quat9x_y;LeftLowerArm_quat9x_z;LeftLowerArm_gyroscope_x;LeftLowerArm_gyroscope_y;LeftLowerArm_gyroscope_z;LeftLowerArm_accelerometer_x;LeftLowerArm_accelerometer_y;LeftLowerArm_accelerometer_z;Chest_boneIndex;Chest_quat9x_w;Chest_quat9x_x;Chest_quat9x_y;Chest_quat9x_z;Chest_gyroscope_x;Chest_gyroscope_y;Chest_gyroscope_z;Chest_accelerometer_x;Chest_accelerometer_y;Chest_accelerometer_z;Spine_boneIndex;Spine_quat9x_w;Spine_quat9x_x;Spine_quat9x_y;Spine_quat9x_z;Spine_gyroscope_x;Spine_gyroscope_y;Spine_gyroscope_z;Spine_accelerometer_x;Spine_accelerometer_y;Spine_accelerometer_z;RightUpperLeg_boneIndex;RightUpperLeg_quat9x_w;RightUpperLeg_quat9x_x;RightUpperLeg_quat9x_y;RightUpperLeg_quat9x_z;RightUpperLeg_gyroscope_x;RightUpperLeg_gyroscope_y;RightUpperLeg_gyroscope_z;RightUpperLeg_accelerometer_x;RightUpperLeg_accelerometer_y;RightUpperLeg_accelerometer_z;RightLowerLeg_boneIndex;RightLowerLeg_quat9x_w;RightLowerLeg_quat9x_x;RightLowerLeg_quat9x_y;RightLowerLeg_quat9x_z;RightLowerLeg_gyroscope_x;RightLowerLeg_gyroscope_y;RightLowerLeg_gyroscope_z;RightLowerLeg_accelerometer_x;RightLowerLeg_accelerometer_y;RightLowerLeg_accelerometer_z;LeftUpperLeg_boneIndex;LeftUpperLeg_quat9x_w;LeftUpperLeg_quat9x_x;LeftUpperLeg_quat9x_y;LeftUpperLeg_quat9x_z;LeftUpperLeg_gyroscope_x;LeftUpperLeg_gyroscope_y;LeftUpperLeg_gyroscope_z;LeftUpperLeg_accelerometer_x;LeftUpperLeg_accelerometer_y;LeftUpperLeg_accelerometer_z;LeftLowerLeg_boneIndex;LeftLowerLeg_quat9x_w;LeftLowerLeg_quat9x_x;LeftLowerLeg_quat9x_y;LeftLowerLeg_quat9x_z;LeftLowerLeg_gyroscope_x;LeftLowerLeg_gyroscope_y;LeftLowerLeg_gyroscope_z;LeftLowerLeg_accelerometer_x;LeftLowerLeg_accelerometer_y;LeftLowerLeg_accelerometer_z;pelvis_x;pelvis_y;pelvis_z;lowerSpine_x;lowerSpine_y;lowerSpine_z;middleSpine_x;middleSpine_y;middleSpine_z;upperSpine_x;upperSpine_y;upperSpine_z;rightClavicle_x;rightClavicle_y;rightClavicle_z;rightShoulder_x;rightShoulder_y;rightShoulder_z;rightElbow_x;rightElbow_y;rightElbow_z;rightWrist_x;rightWrist_y;rightWrist_z;leftClavicle_x;leftClavicle_y;leftClavicle_z;leftShoulder_x;leftShoulder_y;leftShoulder_z;leftElbow_x;leftElbow_y;leftElbow_z;leftWrist_x;leftWrist_y;leftWrist_z;rightHip_x;rightHip_y;rightHip_z;rightKnee_x;rightKnee_y;rightKnee_z;rightAnkle_x;rightAnkle_y;rightAnkle_z;leftHip_x;leftHip_y;leftHip_z;leftKnee_x;leftKnee_y;leftKnee_z;leftAnkle_x;leftAnkle_y;leftAnkle_z;
1304732.1636;NotLabelled;16384;0.7287662;0.3504155;0.567867;0.1537396;12;6;1;2414;-1292;2713;65536;0.6208603;0.5554016;-0.4722992;-0.2880886;3;-11;4;3413;-1670;-937;8192;0.5193906;-0.7657777;-0.3199446;-0.2036011;5;3;3;1210;3751;-873;32768;0.5692521;-0.7498667;0.2576177;-0.2174515;-4;4;-3;2613;3077;980;256;-0.3060942;0.2313019;-0.5955678;-0.7057654;-7;5;-2;569;3944;-301;128;-0.008310249;0.2077562;0.5789474;0.7884087;6;0;3;-869;3807;1240;4;-0.6052631;0.2548476;-0.4210526;-0.6256388;3;7;3;1887;3336;334;16;0.6956301;-0.6869806;-0.101108;-0.1842105;-8;4;-1;487;4004;110;2;0.4542936;-0.6043846;-0.4903047;-0.433518;-1;4;-1;847;3888;-453;8;0.4695291;-0.8699495;0.09418282;0.1177285;-1;4;0;283;3379;2181;1.179845;2.60264;0.3028758;1.185806;3.145875;0.3526857;1.191048;3.623564;0.3944542;1.308267;4.343177;0.4773906;1.105728;4.708861;0.4763701;0.7453178;4.619175;0.5232726;0.0524078;4.934454;1.051292;0.7178049;5.326509;0.5023507;1.619304;4.625209;0.4763513;1.880921;4.434205;0.523232;2.145494;3.541687;0.7716029;1.882817;2.841341;1.353241;0.8675997;2.56145;0.2910982;0.146853;1.336931;-0.05809809;0;0;0;0.8675997;2.56145;0.2910982;0.146853;1.336931;-0.05809809;0;0;0
1304773.3339;NotLabelled;16384;0.7300916;0.3476454;0.567867;0.1537396;13;5;0;2442;-1246;2763;65536;0.6215011;0.5554016;-0.4722992;-0.2867036;3;-11;5;3415;-1734;-1007;8192;0.5180055;-0.7665026;-0.3213296;-0.2022161;3;1;2;1192;3783;-873;32768;0.5692521;-0.7503411;0.2562327;-0.2174515;-4;0;-2;2471;3141;852;256;-0.3074792;0.232687;-0.5955678;-0.7047072;-9;8;-2;631;3882;-263;128;-0.009695291;0.2077562;0.5803324;0.7873739;5;1;3;-841;3831;1174;4;-0.6066482;0.2562327;-0.4196676;-0.6246614;3;6;2;1955;3334;338;16;0.6954274;-0.6869806;-0.1024931;-0.1842105;-7;7;-1;679;4046;40;2;0.4542936;-0.6032584;-0.4916897;-0.433518;-3;6;-1;799;3990;-353;8;0.4695291;-0.8700983;0.09279778;0.1177285;-1;5;0;213;3413;2245;1.181241;2.600326;0.2835493;1.187204;3.143748;0.3312802;1.192448;3.621593;0.3712207;1.306695;4.342377;0.447902;1.102592;4.707171;0.4440566;0.7426307;4.616349;0.4922017;0.05220467;4.927236;1.026046;0.7075895;5.322865;0.467705;1.616521;4.625715;0.4440558;1.879014;4.436233;0.4922006;2.148631;3.545573;0.7418141;1.900017;2.842785;1.326679;0.8689954;2.559091;0.2719426;0.1417323;1.336829;-0.07160158;0;0;0;0.8689954;2.559091;0.2719426;0.1417323;1.336829;-0.07160158;0;0;0
1304795.1827;NotLabelled;16384;0.7328362;0.3434903;0.566482;0.1551246;14;5;0;2440;-1132;2843;65536;0.6223493;0.5554016;-0.4736842;-0.2825485;6;-11;5;3311;-1792;-1215;8192;0.5180055;-0.7665026;-0.3213296;-0.2022161;3;0;2;1300;3765;-897;32768;0.5692521;-0.7507411;0.2562327;-0.2160665;-3;-3;-2;2427;3043;794;256;-0.3102493;0.2354571;-0.5955678;-0.7025698;-13;18;-2;865;4674;65;128;-0.009695291;0.2063712;0.5803324;0.787738;3;0;3;-819;3719;1188;4;-0.6066482;0.2562327;-0.4196676;-0.6246614;3;1;0;1865;3386;354;16;0.6936874;-0.6883656;-0.1024931;-0.1855956;-4;6;0;583;3994;50;2;0.4542936;-0.6032584;-0.4916897;-0.433518;-1;4;-1;731;3962;-427;8;0.4695291;-0.8700983;0.09279778;0.1177285;-1;5;0;171;3405;2277;1.179202;2.600436;0.2835785;1.185168;3.144031;0.3293031;1.190413;3.62202;0.3674796;1.304429;4.342974;0.4428939;1.100197;4.70769;0.4384785;0.7402804;4.616825;0.4868769;0.04895478;4.924822;1.021232;0.7012675;5.322365;0.4606566;1.614154;4.626413;0.4384778;1.876727;4.437106;0.486876;2.151626;3.54809;0.7365885;1.906491;2.84422;1.32162;0.8669565;2.559159;0.2721368;0.1390793;1.337141;-0.07097564;0;0;0;0.8669565;2.559159;0.2721368;0.1390793;1.337141;-0.07097564;0;0;0
1304817.3807;NotLabelled;16384;0.7331895;0.3421052;0.566482;0.1565097;13;2;0;2418;-1092;2991;65536;0.6225451;0.5554016;-0.4750692;-0.2797784;8;-8;5;3293;-1948;-1233;8192;0.5180055;-0.7665026;-0.3213296;-0.2022161;3;0;0;1294;3735;-935;32768;0.5692521;-0.7511383;0.2562327;-0.2146814;-3;-6;-3;2439;3121;912;256;-0.3116343;0.2368421;-0.5969529;-0.7003121;-5;9;-2;469;3854;-365;128;-0.01108033;0.2063712;0.5817174;0.7866975;4;0;3;-843;3761;1298;4;-0.6052631;0.2576177;-0.4196676;-0.6254349;2;-2;-1;1867;3386;320;16;0.6933154;-0.6883656;-0.1024931;-0.1869806;-3;6;2;725;4038;-138;2;0.4542936;-0.6022606;-0.4916897;-0.434903;-1;3;0;845;4032;-327;8;0.4695291;-0.8702449;0.09141274;0.1177285;0;3;0;241;3335;2357;1.180546;2.600188;0.2697173;1.186511;3.143789;0.3153679;1.191756;3.621783;0.353479;1.305286;4.343077;0.4263424;1.100785;4.707626;0.4207798;0.7409612;4.616665;0.4696881;0.0482884;4.919727;1.005119;0.6960384;5.32114;0.4420165;1.614802;4.626725;0.420779;1.877539;4.437777;0.4696867;2.15474;3.548761;0.7168412;1.91681;2.843787;1.303516;0.8682998;2.558909;0.2582818;0.1374505;1.336892;-0.07845338;0;0;0;0.8682998;2.558909;0.2582818;0.1374505;1.336892;-0.07845338;0;0;0
1304838.4358;NotLabelled;16384;0.7348177;0.3379501;0.566482;0.1578947;12;0;1;2478;-1076;3083;65536;0.6243958;0.5554016;-0.4750692;-0.2756233;9;-5;3;3409;-1990;-1205;8192;0.5166205;-0.7662711;-0.3240997;-0.2022161;1;4;3;1398;3687;-955;32768;0.567867;-0.7526563;0.2548476;-0.2146814;-1;4;0;2511;3043;912;256;-0.3144044;0.2409972;-0.5969529;-0.6976513;-4;4;-2;469;3920;-281;128;-0.01246537;0.2049861;0.5831025;0.7860132;2;1;3;-799;3853;1324;4;-0.6038781;0.2590028;-0.4196676;-0.6262012;4;-4;-3;2237;3366;166;16;0.6946877;-0.6869806;-0.1024931;-0.1869806;6;-2;4;299;4062;200;2;0.4542936;-0.6021268;-0.4930748;-0.433518;-1;0;1;829;3960;-401;8;0.468144;-0.8709908;0.09141274;0.1177285;-1;-2;-1;295;3319;2273;1.178733;2.602288;0.2656275;1.1847;3.146054;0.3092679;1.189947;3.624185;0.3456116;1.302243;4.346041;0.4147221;1.097085;4.710192;0.4074726;0.7374634;4.618838;0.4571292;0.04513139;4.918789;0.9947492;0.6912853;5.32216;0.4312121;1.611245;4.63021;0.4074719;1.874359;4.441982;0.4571283;2.152566;3.552967;0.7031503;1.919408;2.846891;1.290416;0.8664868;2.560966;0.2543572;0.1389621;1.336585;-0.08098544;0;0;0;0.8664868;2.560966;0.2543572;0.1389621;1.336585;-0.08098544;0;0;0
1304880.2008;NotLabelled;16384;0.7351544;0.3365651;0.566482;0.1592798;10;0;1;2486;-1038;3125;65536;0.6245571;0.5554016;-0.4764543;-0.2728532;8;-5;3;3395;-2006;-1159;8192;0.5152354;-0.7666165;-0.3254848;-0.2022161;1;4;3;1340;3633;-987;32768;0.567867;-0.7526563;0.2548476;-0.2146814;0;3;0;2501;2977;1104;256;-0.3157895;0.2423823;-0.5969529;-0.6965451;-4;1;-2;563;3944;-235;128;-0.01246537;0.2049861;0.5831025;0.7860132;1;3;3;-813;3917;1202;4;-0.602493;0.2603878;-0.4196676;-0.6269605;1;-4;-2;2151;3568;368;16;0.6972457;-0.6842105;-0.101108;-0.1883656;16;-12;6;389;3836;216;2;0.4542936;-0.6031216;-0.4930748;-0.432133;0;-3;0;911;3926;-313;8;0.468144;-0.8709908;0.09141274;0.1177285;0;-1;0;143;3429;2235;1.179557;2.604628;0.2623169;1.185526;3.148557;0.3038718;1.190774;3.626824;0.3383815;1.301094;4.34923;0.4048872;1.094919;4.71278;0.3964674;0.7355797;4.620601;0.4466428;0.04474151;4.91447;0.989517;0.6828182;5.323528;0.4208992;1.6093;4.634231;0.3964667;1.872964;4.446913;0.4466417;2.157322;3.559097;0.6899471;1.933819;2.852796;1.280686;0.86731;2.563264;0.2512183;0.141014;1.336537;-0.0781657;0;0;0;0.86731;2.563264;0.2512183;0.141014;1.336537;-0.0781657;0;0;0
1304901.3242;NotLabelled;16384;0.7367418;0.33241;0.566482;0.1606648;9;0;0;2546;-1072;3233;65536;0.6245278;0.5567867;-0.4764543;-0.2700831;5;-4;2;3427;-1976;-1129;8192;0.5152354;-0.7660269;-0.3268698;-0.2022161;2;5;2;1328;3735;-1109;32768;0.566482;-0.7536993;0.2548476;-0.2146814;-2;4;-1;2543;2915;1184;256;-0.3171745;0.2437673;-0.5983379;-0.6942403;-3;1;-1;573;4062;-181;128;-0.01246537;0.2036011;0.5844875;0.7853442;2;1;3;-685;4017;1188;4;-0.602493;0.2590028;-0.4210526;-0.6266055;-1;0;3;2361;3770;456;16;0.6978177;-0.6842105;-0.09972299;-0.1869806;6;-7;-2;667;4286;784;2;0.4542936;-0.6031216;-0.4930748;-0.432133;0;-1;1;957;3990;-311;8;0.468144;-0.8709908;0.09141274;0.1177285;0;-2;0;299;3521;2319;1.185851;2.606164;0.2659242;1.19182;3.150093;0.307479;1.197068;3.62836;0.3419889;1.307099;4.350928;0.407195;1.100767;4.714375;0.3981912;0.7414805;4.622131;0.4486251;0.05121964;4.912869;0.993914;0.6878197;5.323876;0.4250456;1.615182;4.636044;0.3981907;1.878938;4.448927;0.4486246;2.166601;3.56228;0.692311;1.945691;2.855979;1.284025;0.8736041;2.564799;0.2548256;0.1507204;1.335748;-0.07339772;0;0;0;0.8736041;2.564799;0.2548256;0.1507204;1.335748;-0.07339772;0;0;0
1304921.3847;NotLabelled;16384;0.737062;0.3310249;0.566482;0.1620499;8;1;-1;2492;-1036;3235;65536;0.625125;0.5567867;-0.4764543;-0.2686981;3;-4;2;3495;-2058;-1073;8192;0.5138504;-0.7669567;-0.3268698;-0.2022161;2;4;2;1206;3817;-1149;32768;0.566482;-0.7541662;0.2534626;-0.2146814;-2;6;-2;2513;3039;1170;256;-0.3185596;0.2451524;-0.5983379;-0.6931175;-3;4;-1;345;4096;-145;128;-0.01385042;0.2036011;0.5844875;0.7853211;3;0;2;-771;3989;1244;4;-0.6038781;0.2590028;-0.4196676;-0.6262012;-5;4;5;2425;3958;588;16;0.6981874;-0.6842105;-0.09972299;-0.1855956;0;-13;-4;1655;4390;570;2;0.4542936;-0.6031216;-0.4930748;-0.432133;1;2;0;1025;4132;-239;8;0.468144;-0.8708024;0.09141274;0.1191136;1;0;0;-53;3487;2295;1.190151;2.605844;0.257624;1.196122;3.149919;0.297227;1.201371;3.628307;0.3300208;1.310091;4.351404;0.3914498;1.103067;4.714412;0.3807507;0.7439939;4.621751;0.4319341;0.05135107;4.906351;0.9774411;0.6859128;5.321466;0.4092797;1.617628;4.637049;0.3807497;1.881776;4.450689;0.4319332;2.17153;3.564083;0.673279;1.955674;2.858638;1.267872;0.8779041;2.564441;0.2466863;0.1508527;1.335727;-0.07349968;0;0;0;0.8779041;2.564441;0.2466863;0.1508527;1.335727;-0.07349968;0;0;0
1304942.35;NotLabelled;16384;0.7372351;0.3282548;0.567867;0.1620499;4;5;0;2464;-986;3217;65536;0.6263084;0.5567867;-0.4764543;-0.265928;-1;-3;2;3487;-2064;-1133;8192;0.5124654;-0.7672918;-0.3282548;-0.2022161;5;0;1;1508;3877;-1027;32768;0.5650969;-0.7557341;0.2506925;-0.2160665;0;7;0;2603;3271;938;256;-0.3227147;0.2493075;-0.5983379;-0.6897048;-4;2;0;589;4184;-195;128;-0.01385042;0.200831;0.5858725;0.7850022;0;3;2;-795;3895;1230;4;-0.6052631;0.2548476;-0.4238227;-0.6237656;-11;-4;-1;2129;3182;168;16;0.7031648;-0.6869806;-0.08310249;-0.1634349;2;-49;-9;-87;4034;118;2;0.4542936;-0.6019866;-0.4944598;-0.432133;-1;5;0;951;4166;-219;8;0.4695291;-0.8702449;0.09141274;0.1177285;3;1;1;155;3465;2271;1.191599;2.60417;0.2583361;1.19757;3.148254;0.2978034;1.20282;3.626651;0.3304777;1.311226;4.349905;0.3905964;1.104034;4.712799;0.3793089;0.7450172;4.620066;0.4307523;0.05326444;4.901517;0.9790152;0.6846925;5.318513;0.4087436;1.618631;4.63567;0.3793082;1.882877;4.449522;0.4307516;2.174954;3.564051;0.6734629;1.9626;2.857541;1.268054;0.879352;2.562764;0.2474093;0.148714;1.336037;-0.07222853;0;0;0;0.879352;2.562764;0.2474093;0.148714;1.336037;-0.07222853;0;0;0
1304984.1586;NotLabelled;16384;0.7378502;0.3268698;0.567867;0.1620499;3;5;0;2500;-1038;3213;65536;0.6263084;0.5567867;-0.4764543;-0.265928;-1;-3;2;3383;-2068;-1229;8192;0.5110803;-0.7676218;-0.3296399;-0.2022161;3;4;2;1638;3873;-969;32768;0.5650969;-0.7561921;0.2493075;-0.2160665;0;6;0;2457;3247;928;256;-0.3240997;0.2493075;-0.5983379;-0.689055;-4;3;0;503;4052;-181;128;-0.01385042;0.200831;0.5858725;0.7850022;3;1;0;-823;3877;1184;4;-0.6052631;0.2534626;-0.4252077;-0.6233873;-9;-2;0;2339;3254;36;16;0.7038028;-0.6869806;-0.08310249;-0.1606648;2;4;-2;-547;4032;18;2;0.4542936;-0.6019866;-0.4944598;-0.432133;-1;2;0;727;4018;-477;8;0.4695291;-0.8702449;0.09141274;0.1177285;2;-1;0;401;3485;2125;1.196405;2.603643;0.2357956;1.202378;3.147871;0.2732432;1.207629;3.626385;0.3041418;1.315047;4.350105;0.3602937;1.107326;4.712637;0.3472271;0.7484832;4.619669;0.3994558;0.06286663;4.897025;0.9574282;0.6854578;5.31777;0.3802359;1.622032;4.636245;0.3472259;1.886586;4.450752;0.3994544;2.184107;3.566465;0.6398571;1.981663;2.859788;1.237696;0.8841577;2.562197;0.2250354;0.1398446;1.337186;-0.06857313;0;0;0;0.8841577;2.562197;0.2250354;0.1398446;1.337186;-0.06857313;0;0;0
