SEP=;
File;Actual_Start;Calculated_Start;Difference
Squat_Fast.csv;246;241;-5
Squat_Medium.csv;316;310;-6
Squat_Medium.csv;550;545;-5
Squat_Medium.csv;785;774;-11
Squat_Medium.csv;1006;993;-13
Squat_Slow.csv;227;223;-4
Squat_Slow.csv;509;511;2
Squat_Slow.csv;786;772;-14
Squat_Slow.csv;1060;1042;-18
Lunge_Fast.csv;633;632;-1
Lunge_Medium.csv;171;154;-17
Lunge_Medium.csv;400;391;-9
Lunge_Medium.csv;631;634;3
Lunge_Slow.csv;213;202;-11
Lunge_Slow.csv;490;499;9
Lunge_Slow.csv;766;752;-14
Lunge_Slow.csv;1039;1044;5
Pushup_Fast.csv;287;276;-11
Pushup_Medium.csv;172;133;-39
Pushup_Medium.csv;628;612;-16
Pushup_Slow.csv;426;423;-3
Pushup_Slow.csv;703;666;-37
Pushup_Slow.csv;974;956;-18
Squat_Fast.csv;220;210;-10
Squat_Medium.csv;229;223;-6
Squat_Medium.csv;675;668;-7
Squat_Medium.csv;897;906;9
Squat_Slow.csv;209;207;-2
Squat_Slow.csv;478;479;1
Squat_Slow.csv;750;747;-3
Squat_Slow.csv;1031;1033;2
Lunge_Medium.csv;189;168;-21
Lunge_Medium.csv;423;413;-10
Lunge_Medium.csv;650;642;-8
Lunge_Medium.csv;881;869;-12
Lunge_Slow.csv;194;177;-17
Lunge_Slow.csv;473;465;-8
Lunge_Slow.csv;749;738;-11
Lunge_Slow.csv;1022;1014;-8
Pushup_Fast.csv;743;739;-4
Pushup_Fast.csv;1302;1294;-8
Pushup_Medium.csv;594;565;-29
Pushup_Medium.csv;825;804;-21
Pushup_Medium.csv;1056;1056;0
Pushup_Slow.csv;163;170;7
Pushup_Slow.csv;442;436;-6
Pushup_Slow.csv;722;713;-9
Pushup_Slow.csv;994;987;-7
Squat_Fast.csv;274;269;-5
Squat_Fast.csv;641;660;19
Squat_Medium.csv;1434;1385;-49
Squat_Medium.csv;1665;1654;-11
Squat_Medium.csv;1894;1885;-9
Squat_Slow.csv;417;436;19
Squat_Slow.csv;698;706;8
Squat_Slow.csv;975;966;-9
Squat_Slow.csv;1250;1246;-4
