SEP=;
File;Actual_Start;Calculated_Start;Difference
Lunge_Medium;278417.0;278751.0;334.0
Lunge_Medium;283514.0;283802.0;288.0
Lunge_Medium;288622.0;291218.0;2596.0
Lunge_Long;67652.0;67942.0;290.0
Lunge_Long;73829.0;74185.0;356.0
Lunge_Long;79719.0;80235.0;516.0
Lunge_Long;85623.0;86120.0;497.0
Pushup_Short;416450.0;416720.0;270.0
Pushup_Short;420336.0;420646.0;310.0
Pushup_Short;424271.0;424584.0;313.0
Pushup_Short;428172.0;428503.0;331.0
Pushup_Medium;213795.0;214294.0;499.0
Pushup_Medium;219188.0;219480.0;292.0
Pushup_Medium;223982.0;224249.0;267.0
Pushup_Long;264948.0;265718.0;770.0
Pushup_Long;271429.0;271782.0;353.0
Pushup_Long;277478.0;277873.0;395.0
Pushup_Long;283312.0;283830.0;518.0
Squat_Short;333976.0;334305.0;329.0
Squat_Short;338575.0;338615.0;40.0
Squat_Short;342098.0;342325.0;227.0
Squat_Short;346008.0;346175.0;167.0
Squat_Medium;149375.0;149913.0;538.0
Squat_Medium;154816.0;155064.0;248.0
Squat_Medium;159772.0;160041.0;269.0
Squat_Medium;164853.0;165060.0;207.0
Squat_Long;118592.0;118821.0;229.0
Squat_Long;124431.0;124802.0;371.0
Squat_Long;130977.0;131286.0;309.0
Squat_Long;137157.0;137347.0;190.0
Lunge_Short;868880.0;869483.0;603.0
Lunge_Short;873373.0;873645.0;272.0
Lunge_Short;877495.0;877888.0;393.0
Lunge_Short;881646.0;882127.0;481.0
Lunge_Medium;690030.0;690443.0;413.0
Lunge_Medium;695000.0;695932.0;932.0
Lunge_Medium;700117.0;700697.0;580.0
Lunge_Medium;705238.0;706216.0;978.0
Lunge_Long;476038.0;476496.0;458.0
Lunge_Long;482372.0;483280.0;908.0
Lunge_Long;488294.0;489546.0;1252.0
Lunge_Long;494322.0;494752.0;430.0
Pushup_Short;794552.0;794720.0;168.0
Pushup_Short;799032.0;799220.0;188.0
Pushup_Short;803173.0;803358.0;185.0
Pushup_Short;807397.0;807544.0;147.0
Pushup_Medium;638611.0;638927.0;316.0
Pushup_Medium;643469.0;644095.0;626.0
Pushup_Medium;648577.0;648897.0;320.0
Pushup_Medium;653824.0;654112.0;288.0
Pushup_Long;291257.0;291528.0;271.0
Pushup_Long;297493.0;297746.0;253.0
Pushup_Long;303553.0;303780.0;227.0
Pushup_Long;309877.0;310149.0;272.0
Squat_Short;755849.0;756554.0;705.0
Squat_Short;760544.0;760769.0;225.0
Squat_Short;764778.0;765008.0;230.0
Squat_Short;768809.0;769058.0;249.0
Squat_Medium;553151.0;553380.0;229.0
Squat_Medium;558089.0;558315.0;226.0
Squat_Medium;563549.0;563735.0;186.0
Squat_Medium;568555.0;568760.0;205.0
Squat_Long;186207.0;186515.0;308.0
Squat_Long;192614.0;192841.0;227.0
Squat_Long;198461.0;198710.0;249.0
Squat_Long;204361.0;204649.0;288.0
Lunge_Short;584833.0;585060.0;227.0
Lunge_Short;589226.0;589473.0;247.0
Lunge_Short;593330.0;593452.0;122.0
Lunge_Short;597043.0;597291.0;248.0
Lunge_Medium;452775.0;453084.0;309.0
Lunge_Medium;457961.0;458271.0;310.0
Lunge_Medium;463002.0;463294.0;292.0
Lunge_Medium;467841.0;468314.0;473.0
Lunge_Long;244523.0;245003.0;480.0
Lunge_Long;250741.0;251012.0;271.0
Lunge_Long;256753.0;256920.0;167.0
Lunge_Long;262730.0;263041.0;311.0
Pushup_Short;545368.0;545554.0;186.0
Pushup_Short;549531.0;549678.0;147.0
Pushup_Short;553711.0;553837.0;126.0
Pushup_Medium;403561.0;403723.0;162.0
Pushup_Medium;408497.0;408749.0;252.0
Pushup_Medium;413509.0;413696.0;187.0
Pushup_Medium;418290.0;418543.0;253.0
Pushup_Long;107348.0;107598.0;250.0
Pushup_Long;113492.0;113745.0;253.0
Pushup_Long;119529.0;119693.0;164.0
Pushup_Long;125336.0;125625.0;289.0
Squat_Short;513320.0;513548.0;228.0
Squat_Medium;344419.0;344628.0;209.0
Squat_Medium;349873.0;350123.0;250.0
Squat_Medium;354468.0;354738.0;270.0
Squat_Medium;359373.0;359582.0;209.0
Squat_Long;37503.0;37832.0;329.0
Squat_Long;43242.0;43593.0;351.0
Squat_Long;49947.0;50196.0;249.0
Squat_Long;55442.0;55652.0;210.0
Lunge_Short;828587.0;829373.0;786.0
Lunge_Short;832468.0;832738.0;270.0
Lunge_Short;836623.0;837094.0;471.0
Lunge_Medium;686625.0;682215.0;-4410.0
Lunge_Medium;691700.0;691843.0;143.0
Lunge_Medium;695979.0;697157.0;1178.0
Lunge_Medium;701199.0;701657.0;458.0
