SEP=;
Training_Samples;Testing_Samples;Accuracy;Precision;Recall;F1;Correct_Reps;Total_Reps
92392.0;145.0;0.7931034482758621;0.5;0.39655172413793105;0.4423076923076923;0.0;0.0
89293.0;3244.0;0.9466707768187423;0.2;0.18933415536374848;0.19452098178939034;0.0;0.0
90764.0;1773.0;0.9808234630569655;0.3333333333333333;0.32694115435232185;0.3301063022019742;0.0;0.0
91917.0;620.0;1.0;1.0;1.0;1.0;0.0;0.0
91243.0;1294.0;0.9659969088098919;0.3333333333333333;0.32199896960329727;0.3275681341719078;0.0;0.0
82826.0;9711.0;0.8335907733498095;0.7302471137350758;0.7146206768871431;0.6804089738758444;34.0;36.0
82971.0;9566.0;0.8420447417938532;0.7367505961234072;0.7791625141166781;0.7348213245149771;36.0;36.0
83770.0;8767.0;0.8803467548762405;0.8650717407304652;0.7088450379141503;0.734076636130068;36.0;36.0
83144.0;9393.0;0.7951666134355371;0.6589441761603162;0.6159616162014742;0.5759029094707381;18.0;36.0
89074.0;3463.0;0.8813167773606699;0.7806129074146214;0.6690009285466137;0.6451773608326512;12.0;12.0
83478.0;9059.0;0.7690694337123303;0.6881872134446295;0.7576483381831041;0.6711253099388388;35.0;36.0
84356.0;8181.0;0.801980198019802;0.6964423537039054;0.7855178356150531;0.7099088557335232;35.0;36.0
83832.0;8705.0;0.8519241815048822;0.6434723153162781;0.6474065052643473;0.61796114067854;36.0;36.0
84248.0;8289.0;0.7119073470865002;0.7003797946957989;0.6595685728932787;0.620390685285566;23.0;33.0
82210.0;10327.0;0.7226687324489203;0.508693245929074;0.4887347310035158;0.4790440752623609;23.0;36.0
