SEP=;
File;Actual_Start;Calculated_Start;Difference
Squat_Slow.csv;203;203;0
Squat_Slow.csv;786;784;-2
Squat_Slow.csv;1038;1040;2
Lunge_Fast.csv;944;942;-2
Lunge_Fast.csv;1124;1125;1
Lunge_Medium.csv;667;569;-98
Lunge_Medium.csv;903;878;-25
Lunge_Slow.csv;210;205;-5
Lunge_Slow.csv;472;473;1
Lunge_Slow.csv;741;743;2
Lunge_Slow.csv;1016;1018;2
Pushup_Fast.csv;424;419;-5
Pushup_Medium.csv;175;166;-9
Pushup_Medium.csv;406;395;-11
Pushup_Medium.csv;635;637;2
Pushup_Slow.csv;251;252;1
Pushup_Slow.csv;524;526;2
Pushup_Slow.csv;797;791;-6
Pushup_Slow.csv;1091;1091;0
Squat_Fast.csv;253;244;-9
Squat_Medium.csv;524;498;-26
Squat_Medium.csv;749;744;-5
Squat_Medium.csv;1229;1228;-1
Squat_Slow.csv;258;247;-11
Squat_Slow.csv;523;508;-15
Squat_Slow.csv;792;775;-17
Squat_Slow.csv;1060;1050;-10
Pushup_Fast.csv;257;258;1
Pushup_Medium.csv;508;489;-19
Pushup_Medium.csv;733;738;5
Pushup_Medium.csv;977;971;-6
Pushup_Medium.csv;1201;1185;-16
Pushup_Slow.csv;743;745;2
Pushup_Slow.csv;1003;1007;4
Pushup_Slow.csv;1287;1276;-11
Pushup_Slow.csv;1527;1524;-3
Lunge_Fast.csv;421;420;-1
Lunge_Fast.csv;621;612;-9
Lunge_Fast.csv;985;984;-1
Lunge_Medium.csv;298;300;2
Lunge_Medium.csv;519;526;7
Lunge_Medium.csv;757;751;-6
Lunge_Medium.csv;1005;999;-6
Lunge_Slow.csv;274;269;-5
Lunge_Slow.csv;562;564;2
Lunge_Slow.csv;855;859;4
Pushup_Fast.csv;788;762;-26
Pushup_Medium.csv;225;200;-25
Pushup_Medium.csv;475;467;-8
Pushup_Medium.csv;690;676;-14
Pushup_Slow.csv;594;589;-5
Pushup_Slow.csv;876;875;-1
Squat_Fast.csv;278;275;-3
Squat_Medium.csv;604;582;-22
Squat_Medium.csv;842;843;1
Squat_Medium.csv;1080;1035;-45
Squat_Medium.csv;1314;1312;-2
Squat_Slow.csv;204;206;2
Squat_Slow.csv;468;482;14
Squat_Slow.csv;764;743;-21
Squat_Slow.csv;1027;1028;1
Lunge_Fast.csv;506;511;5
Lunge_Medium.csv;518;520;2
Lunge_Medium.csv;744;744;0
Lunge_Medium.csv;966;963;-3
Lunge_Medium.csv;1179;1176;-3
Lunge_Slow.csv;201;208;7
Lunge_Slow.csv;473;473;0
Lunge_Slow.csv;745;746;1
Lunge_Slow.csv;1018;1020;2
Pushup_Fast.csv;229;207;-22
Pushup_Fast.csv;773;764;-9
Pushup_Medium.csv;370;369;-1
Pushup_Medium.csv;822;824;2
Pushup_Slow.csv;494;443;-51
Pushup_Slow.csv;758;741;-17
Pushup_Slow.csv;1040;1014;-26
Pushup_Slow.csv;1310;1293;-17
Squat_Fast.csv;263;264;1
Squat_Medium.csv;235;239;4
Squat_Medium.csv;476;475;-1
Squat_Medium.csv;710;712;2
Squat_Medium.csv;954;957;3
Squat_Slow.csv;238;241;3
Squat_Slow.csv;505;506;1
Squat_Slow.csv;758;762;4
Squat_Slow.csv;1019;1019;0
Lunge_Fast.csv;251;254;3
Lunge_Medium.csv;295;300;5
Lunge_Medium.csv;528;530;2
Lunge_Medium.csv;750;755;5
Lunge_Slow.csv;201;205;4
Lunge_Slow.csv;471;476;5
Lunge_Slow.csv;733;737;4
Lunge_Slow.csv;998;1002;4
Pushup_Fast.csv;163;166;3
Pushup_Medium.csv;260;263;3
Pushup_Medium.csv;483;478;-5
Pushup_Slow.csv;170;170;0
Pushup_Slow.csv;435;437;2
Pushup_Slow.csv;723;685;-38
Pushup_Slow.csv;991;992;1
Squat_Fast.csv;238;241;3
Squat_Medium.csv;306;310;4
Squat_Medium.csv;549;546;-3
