SEP=;
File;Actual_Start;Calculated_Start;Difference
Lunge_Medium.csv;45;49;4
Lunge_Medium.csv;685;688;3
Lunge_Slow.csv;199;200;1
Lunge_Slow.csv;517;525;8
Lunge_Slow.csv;830;834;4
Lunge_Slow.csv;1123;1131;8
Pushup_Fast.csv;32;34;2
Pushup_Fast.csv;344;340;-4
Pushup_Medium.csv;55;58;3
Pushup_Medium.csv;237;238;1
Pushup_Medium.csv;414;413;-1
Pushup_Slow.csv;130;129;-1
Pushup_Slow.csv;391;396;5
Pushup_Slow.csv;683;685;2
Pushup_Slow.csv;964;966;2
Squat_Fast.csv;66;34;-32
Squat_Medium.csv;92;96;4
Squat_Medium.csv;720;718;-2
Squat_Slow.csv;87;96;9
Squat_Slow.csv;406;410;4
Squat_Slow.csv;714;718;4
Lunge_Fast.csv;763;764;1
Lunge_Medium.csv;487;484;-3
Lunge_Medium.csv;913;918;5
Lunge_Medium.csv;1133;1129;-4
Lunge_Slow.csv;436;368;-68
Lunge_Slow.csv;722;722;0
Lunge_Slow.csv;987;992;5
Lunge_Slow.csv;1240;1241;1
Pushup_Fast.csv;328;319;-9
Pushup_Medium.csv;324;323;-1
Pushup_Medium.csv;542;545;3
Pushup_Medium.csv;742;736;-6
Pushup_Slow.csv;446;445;-1
Pushup_Slow.csv;693;697;4
Pushup_Slow.csv;955;958;3
Pushup_Slow.csv;1193;1196;3
Squat_Fast.csv;686;687;1
Squat_Medium.csv;629;619;-10
Squat_Medium.csv;816;802;-14
Squat_Slow.csv;775;772;-3
Squat_Slow.csv;1062;1064;2
Squat_Slow.csv;1369;1371;2
Lunge_Medium.csv;52;39;-13
Lunge_Medium.csv;489;488;-1
Lunge_Slow.csv;38;31;-7
Lunge_Slow.csv;345;341;-4
Lunge_Slow.csv;612;614;2
Lunge_Slow.csv;875;861;-14
Pushup_Slow.csv;238;239;1
Pushup_Slow.csv;514;515;1
Pushup_Slow.csv;816;808;-8
Pushup_Slow.csv;1116;1115;-1
Squat_Medium.csv;111;115;4
Squat_Medium.csv;372;357;-15
Squat_Medium.csv;577;578;1
Squat_Slow.csv;452;456;4
Squat_Slow.csv;764;767;3
Squat_Slow.csv;1065;1065;0
Lunge_Fast.csv;69;71;2
Lunge_Medium.csv;71;60;-11
Lunge_Medium.csv;247;251;4
Lunge_Medium.csv;435;437;2
Lunge_Slow.csv;120;121;1
Lunge_Slow.csv;432;436;4
Lunge_Slow.csv;708;713;5
Lunge_Slow.csv;974;957;-17
Squat_Medium.csv;183;186;3
Squat_Medium.csv;388;392;4
Squat_Medium.csv;571;572;1
Squat_Slow.csv;153;136;-17
Squat_Slow.csv;520;523;3
Squat_Slow.csv;840;841;1
Squat_Slow.csv;1180;1186;6
Lunge_Fast.csv;116;99;-17
Lunge_Medium.csv;102;106;4
Lunge_Medium.csv;661;654;-7
Lunge_Slow.csv;354;265;-89
Lunge_Slow.csv;633;635;2
Lunge_Slow.csv;888;891;3
Lunge_Slow.csv;1109;1112;3
Pushup_Fast.csv;185;189;4
Pushup_Fast.csv;492;476;-16
Pushup_Medium.csv;337;341;4
Pushup_Medium.csv;861;860;-1
Pushup_Slow.csv;251;254;3
Pushup_Slow.csv;515;509;-6
Pushup_Slow.csv;792;795;3
Pushup_Slow.csv;1073;1066;-7
Squat_Fast.csv;176;61;-115
Squat_Medium.csv;246;217;-29
Squat_Medium.csv;410;411;1
Squat_Medium.csv;595;597;2
Squat_Slow.csv;154;155;1
Squat_Slow.csv;418;386;-32
Squat_Slow.csv;783;783;0
Lunge_Fast.csv;138;139;1
Lunge_Medium.csv;203;187;-16
Lunge_Medium.csv;423;418;-5
Lunge_Slow.csv;195;186;-9
Lunge_Slow.csv;474;469;-5
Lunge_Slow.csv;744;738;-6
Lunge_Slow.csv;1015;1001;-14
Pushup_Fast.csv;453;442;-11
Pushup_Medium.csv;612;576;-36
Pushup_Medium.csv;864;858;-6
Pushup_Medium.csv;1083;1076;-7
Pushup_Slow.csv;437;416;-21
Pushup_Slow.csv;737;721;-16
Pushup_Slow.csv;1017;1013;-4
Pushup_Slow.csv;1284;1235;-49
Squat_Fast.csv;318;320;2
Squat_Medium.csv;271;273;2
Squat_Medium.csv;521;526;5
Squat_Medium.csv;750;749;-1
Squat_Medium.csv;978;979;1
Squat_Slow.csv;585;588;3
Squat_Slow.csv;846;841;-5
Squat_Slow.csv;1143;1147;4
Squat_Slow.csv;1425;1428;3
Lunge_Fast.csv;276;281;5
Lunge_Fast.csv;482;478;-4
Lunge_Fast.csv;672;674;2
Lunge_Fast.csv;864;862;-2
Lunge_Medium.csv;1044;1049;5
Lunge_Medium.csv;1276;1279;3
Lunge_Medium.csv;1517;1510;-7
Lunge_Medium.csv;1754;1748;-6
Lunge_Slow.csv;234;241;7
Lunge_Slow.csv;527;531;4
Lunge_Slow.csv;800;803;3
Lunge_Slow.csv;1081;1082;1
Pushup_Fast.csv;220;223;3
Pushup_Fast.csv;428;429;1
Pushup_Fast.csv;618;616;-2
