SEP=;
Training_Samples;Testing_Samples;Accuracy;Precision;Recall;F1;Correct_Reps;Total_Reps
119327.0;7723.0;0.9500194225042082;0.8961482400531363;0.9214373012367553;0.9029908337675525;36.0;36.0
116126.0;10924.0;0.9391248626876602;0.8773661909332972;0.8727246385029156;0.863883515316798;37.0;37.0
117883.0;9167.0;0.9078215337624086;0.8244674532884927;0.8847286447558894;0.835507455668855;28.0;34.0
121163.0;5887.0;0.8875488364192288;0.9366341429364275;0.7012054721780002;0.7048942608655843;25.0;25.0
118701.0;8349.0;0.8505210204814948;0.8428744286816565;0.7974910750621256;0.7400718401969338;26.0;36.0
117359.0;9691.0;0.7844391703642555;0.7988274039007981;0.7983478581000555;0.7442196938713073;35.0;36.0
117333.0;9717.0;0.8500566018318411;0.7936890214905816;0.8940069411294809;0.8102840940348525;36.0;36.0
118215.0;8835.0;0.9291454442558008;0.8641432950063586;0.9210161338934206;0.884775921471579;36.0;36.0
117745.0;9305.0;0.8680279419666845;0.8702934314609697;0.7202166674052856;0.7302472957212943;23.0;36.0
123684.0;3366.0;0.8048128342245989;0.9114435907804287;0.6686838124054463;0.619615838383555;12.0;12.0
118059.0;8991.0;0.8266043821599377;0.7825122089552633;0.8140142556126102;0.7558321090057006;35.0;36.0
119009.0;8041.0;0.8778758860838204;0.8136022497811192;0.8643750156029076;0.8235453574431827;35.0;36.0
118244.0;8806.0;0.8838292073586191;0.7766433758651868;0.6633631162385648;0.6332731515048902;36.0;36.0
118860.0;8190.0;0.8026862026862027;0.818627794221536;0.7493034810557059;0.7347528887378617;28.0;33.0
116992.0;10058.0;0.7273811891032015;0.638415151322603;0.6371445442315492;0.6158923710577587;28.0;36.0
